Caso,eta,s,phi_x,phi_pi,a,T,D,Delta,lambda_1,lambda_2,rho_A
A,0.1,0.005,0.10000000000000002,0.012499999999999999,0.7200000000000001,1.7149999999999999,0.72,0.06122499999999942,(0.7337815696834138+0j),(0.9812184303165862+0j),0.9812184303165862
B,0.5,1.5,0.5,3.75,0.4,-0.09999999999999998,0.4,-1.59,(-0.05000000000000007+0.6304760106459247j),(-0.05000000000000007-0.6304760106459247j),0.6324555320336761
C,0.9,0.45,0.9,1.125,0.07999999999999999,0.63,0.07999999999999995,0.07690000000000025,(0.1763457537613794+0j),(0.4536542462386206+0j),0.4536542462386206
